_ - propertyLabel,_ - propertyURI,mapping.turtle,mapping.kiegel,uwFormOrder,usedInProfile,Notes,sinopiaNotes,CHECKED BY,_ - type,_ - mandatory,_ - repeatable,_ - remark,_ - noteUw,_ - valueConstraint - defaults - _ - defaultLiteral,_ - valueConstraint - defaults - _ - defaultURI,_ - valueConstraint - valueDataType - dataTypeURI,_ - valueConstraint - useValuesFrom - useValuesFrom,_ - valueConstraint - valueTemplateRefs - valueTemplateRefs
work has contributor agent (RDA 18.5),https://doi.org/10.6069/uwlib.55.d.4#hasContributorAgent,"bf:contribution [ a bf:Contribution ;
   bf:agent <value> ] .
# with literal value
bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""value"" ] ] .","contribution >> Contribution > agent*
or
contribution >> Contribution > agent >> agent > rdfs:label",233,"""monograph"",
""dvdVideo"",
""map"",
""eMap"",
""eBook"",
""graphic"",
""eGraphic"",
""soundRecording""",,,,lookup,FALSE,TRUE,http://access.rdatoolkit.org/18.5.html,,,,,,
has creator characteristic,https://doi.org/10.6069/uwlib.55.d.4#hasCreatorCharacteristic,"bflc:creatorCharacteristic <value> .
# with literal value
bflc:creatorCharacteristic [ a bflc:CreatorCharacteristic ;
  rdfs:label ""value"" ] .","bflc:creatorCharacteristic*
or
bflc:creatorCharacteristic >> bflc:CreatorCharacteristic > rdfs:label",0.009,"""monograph"",
""dvdVideo"",
""etd"",
""map"",
""eMap"",
""serial"",
""eSerial"",
""eBook"",
""graphic"",
""eGraphic"",
""soundRecording""",,,,,,,,,,,,,
has University of Washington-specific note on work (RDA 5.9),https://doi.org/10.6069/uwlib.55.d.4#hasUniversityOfWashingtonNote,"bf:note [ a bf:Note ;
   rdfs:label ""value"" ;
   bf:noteType ""University of Washington note"" ] .","note >> Note > rdfs:label ; > noteType=""University of Washington note""",29.1,"""map"",
""eMap"",
""eBook"",
""serial"",
""eSerial"",
""graphic"",
""eGraphic"",
""dvdVideo"",
""monograph"",
""soundRecording""",,,,literal,FALSE,TRUE,http://access.rdatoolkit.org/5.9.html,,,,,,
work has Library of Congress Geographic Classification,https://doi.org/10.6069/uwlib.55.d.4#hasLcGeographicClassification,"bf:classification [ a bf:Classification ;
   rdf:value ""value"" ;
   bf:source [ a bf:Source ;
      rdfs:label ""Library of Congress Geographic Classification"" ] ] .","classification >> Classification > rdf:value ; > source >> Source > rdfs:label=""Library of Congress Geographic Classification""",118.51,"""map"",
""eMap""",,,,literal,FALSE,TRUE,,,,,,,
